date,age,account,old_balance,new_balance,amount,type,message
2026-03-31,51,loan,225003.8,223186.31,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-03-31,51,oa,157330.87,159033.08,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-03-31,51,sa,258507.36,258951.19,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-03-31,51,ma,79130.93,79722.89,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-04-30,51,oa,159033.08,157215.59,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-04-30,51,loan,223186.31,221368.82,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-04-30,51,oa,157215.59,158917.8,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-04-30,51,sa,258951.19,259395.02,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-04-30,51,ma,79722.89,80314.85,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-05-31,51,oa,158917.8,157100.31,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-05-31,51,loan,221368.82,219551.33,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-05-31,51,oa,157100.31,158802.52,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-05-31,51,sa,259395.02,259838.85,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-05-31,51,ma,80314.85,80906.81,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-06-30,51,oa,158802.52,156985.03,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2026-06-30,51,loan,219551.33,217733.84,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2026-06-30,51,oa,156985.03,158687.24,1702.21,inflow,oa-Allocation for OA at age 51-1702.21
2026-06-30,51,sa,259838.85,260282.68,443.83,inflow,sa-Allocation for SA at age 51-443.83
2026-06-30,51,ma,80906.81,81498.77,591.96,inflow,ma-Allocation for MA at age 51-591.96
2026-07-31,52,oa,158687.24,156869.75,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2026-07-31,52,loan,217733.84,215916.35,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2026-07-31,52,oa,156869.75,158571.96,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2026-07-31,52,sa,260282.68,260726.51,443.83,inflow,sa-Allocation for SA at age 52-443.83
2026-07-31,52,ma,81498.77,82090.73,591.96,inflow,ma-Allocation for MA at age 52-591.96
2026-08-31,52,oa,158571.96,156754.47,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2026-08-31,52,loan,215916.35,214098.86,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2026-08-31,52,oa,156754.47,158456.68,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2026-08-31,52,sa,260726.51,261170.34,443.83,inflow,sa-Allocation for SA at age 52-443.83
2026-08-31,52,ma,82090.73,82682.69,591.96,inflow,ma-Allocation for MA at age 52-591.96
2026-09-30,52,oa,158456.68,156639.19,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2026-09-30,52,loan,214098.86,212281.37,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2026-09-30,52,oa,156639.19,158341.4,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2026-09-30,52,sa,261170.34,261614.17,443.83,inflow,sa-Allocation for SA at age 52-443.83
2026-09-30,52,ma,82682.69,83274.65,591.96,inflow,ma-Allocation for MA at age 52-591.96
2026-10-31,52,oa,158341.4,156523.91,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2026-10-31,52,loan,212281.37,210463.88,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2026-10-31,52,oa,156523.91,158226.12,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2026-10-31,52,sa,261614.17,262058.0,443.83,inflow,sa-Allocation for SA at age 52-443.83
2026-10-31,52,ma,83274.65,83866.61,591.96,inflow,ma-Allocation for MA at age 52-591.96
2026-11-30,52,oa,158226.12,156408.63,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2026-11-30,52,loan,210463.88,208646.39,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2026-11-30,52,oa,156408.63,158110.84,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2026-11-30,52,sa,262058.0,262501.83,443.83,inflow,sa-Allocation for SA at age 52-443.83
2026-11-30,52,ma,83866.61,84458.57,591.96,inflow,ma-Allocation for MA at age 52-591.96
