DATE_KEY,REF,AGE,ACCOUNT,TYPE,INFLOW,OUTFLOW,OA,SA,MA,RA,LOANS,EXCESS,MESSAGE
2025-05-01,100000001,50,oa,inflow,167892.11,0.0,167892.11,167892.11,167892.11,167892.11,167892.11,167892.11,oa-Initial Balance of oa-167892.11
2025-05-01,100000002,50,sa,inflow,253163.35,0.0,253163.35,253163.35,253163.35,253163.35,253163.35,253163.35,sa-Initial Balance of sa-253163.35
2025-05-01,100000003,50,ma,inflow,72952.37,0.0,72952.37,72952.37,72952.37,72952.37,72952.37,72952.37,ma-Initial Balance of ma-72952.37
2025-05-01,100000004,50,loan,inflow,251101.0,0.0,251101.0,251101.0,251101.0,251101.0,251101.0,251101.0,loan-Initial Balance of loan-251101.00
2025-05-31,100000005,50,oa,outflow,0.0,-1687.39,166204.71999999997,166204.71999999997,166204.71999999997,166204.71999999997,166204.71999999997,166204.71999999997,oa-Loan payment from OA Account at year 1 age 50--1687.39
2025-05-31,100000006,50,loan,outflow,0.0,-1687.39,249413.61,249413.61,249413.61,249413.61,249413.61,249413.61,loan-Loan payment from OA Account at year 1 age 50--1687.39
2025-05-31,100000007,50,oa,inflow,1702.21,0.0,167906.92999999996,167906.92999999996,167906.92999999996,167906.92999999996,167906.92999999996,167906.92999999996,oa-Allocation for OA at age 50-1702.21
2025-05-31,100000008,50,sa,inflow,443.83,0.0,253607.18,253607.18,253607.18,253607.18,253607.18,253607.18,sa-Allocation for SA at age 50-443.83
2025-05-31,100000009,50,ma,inflow,591.96,0.0,73544.33,73544.33,73544.33,73544.33,73544.33,73544.33,ma-Allocation for MA at age 50-591.96
2025-06-30,100000010,50,oa,outflow,0.0,-1687.39,166219.53999999995,166219.53999999995,166219.53999999995,166219.53999999995,166219.53999999995,166219.53999999995,oa-Loan payment from OA Account at year 2 age 50--1687.39
2025-06-30,100000011,50,loan,outflow,0.0,-1687.39,247726.21999999997,247726.21999999997,247726.21999999997,247726.21999999997,247726.21999999997,247726.21999999997,loan-Loan payment from OA Account at year 2 age 50--1687.39
2025-06-30,100000012,50,oa,inflow,1702.21,0.0,167921.74999999994,167921.74999999994,167921.74999999994,167921.74999999994,167921.74999999994,167921.74999999994,oa-Allocation for OA at age 50-1702.21
2025-06-30,100000013,50,sa,inflow,443.83,0.0,254051.00999999998,254051.00999999998,254051.00999999998,254051.00999999998,254051.00999999998,254051.00999999998,sa-Allocation for SA at age 50-443.83
2025-06-30,100000014,50,ma,inflow,591.96,0.0,74136.29000000001,74136.29000000001,74136.29000000001,74136.29000000001,74136.29000000001,74136.29000000001,ma-Allocation for MA at age 50-591.96
2025-07-31,100000015,51,oa,outflow,0.0,-9999.99,157921.75999999995,157921.75999999995,157921.75999999995,157921.75999999995,157921.75999999995,157921.75999999995,oa-Loan payment from OA Account at year 3 age 51--9999.99
2025-07-31,100000016,51,loan,outflow,0.0,-9999.99,237726.22999999998,237726.22999999998,237726.22999999998,237726.22999999998,237726.22999999998,237726.22999999998,loan-Loan payment from OA Account at year 3 age 51--9999.99
2025-07-31,100000017,51,oa,inflow,1702.21,0.0,159623.96999999994,159623.96999999994,159623.96999999994,159623.96999999994,159623.96999999994,159623.96999999994,oa-Allocation for OA at age 51-1702.21
2025-07-31,100000018,51,sa,inflow,443.83,0.0,254494.83999999997,254494.83999999997,254494.83999999997,254494.83999999997,254494.83999999997,254494.83999999997,sa-Allocation for SA at age 51-443.83
2025-07-31,100000019,51,ma,inflow,591.96,0.0,74728.25000000001,74728.25000000001,74728.25000000001,74728.25000000001,74728.25000000001,74728.25000000001,ma-Allocation for MA at age 51-591.96
2025-08-31,100000020,51,oa,outflow,0.0,-1817.49,157806.47999999995,157806.47999999995,157806.47999999995,157806.47999999995,157806.47999999995,157806.47999999995,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,100000021,51,loan,outflow,0.0,-1817.49,235908.74,235908.74,235908.74,235908.74,235908.74,235908.74,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-08-31,100000022,51,oa,inflow,1702.21,0.0,159508.68999999994,159508.68999999994,159508.68999999994,159508.68999999994,159508.68999999994,159508.68999999994,oa-Allocation for OA at age 51-1702.21
2025-08-31,100000023,51,sa,inflow,443.83,0.0,254938.66999999995,254938.66999999995,254938.66999999995,254938.66999999995,254938.66999999995,254938.66999999995,sa-Allocation for SA at age 51-443.83
2025-08-31,100000024,51,ma,inflow,591.96,0.0,75320.21000000002,75320.21000000002,75320.21000000002,75320.21000000002,75320.21000000002,75320.21000000002,ma-Allocation for MA at age 51-591.96
2025-09-30,100000025,51,oa,outflow,0.0,-1817.49,157691.19999999995,157691.19999999995,157691.19999999995,157691.19999999995,157691.19999999995,157691.19999999995,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,100000026,51,loan,outflow,0.0,-1817.49,234091.25,234091.25,234091.25,234091.25,234091.25,234091.25,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-09-30,100000027,51,oa,inflow,1702.21,0.0,159393.40999999995,159393.40999999995,159393.40999999995,159393.40999999995,159393.40999999995,159393.40999999995,oa-Allocation for OA at age 51-1702.21
2025-09-30,100000028,51,sa,inflow,443.83,0.0,255382.49999999994,255382.49999999994,255382.49999999994,255382.49999999994,255382.49999999994,255382.49999999994,sa-Allocation for SA at age 51-443.83
2025-09-30,100000029,51,ma,inflow,591.96,0.0,75912.17000000003,75912.17000000003,75912.17000000003,75912.17000000003,75912.17000000003,75912.17000000003,ma-Allocation for MA at age 51-591.96
2025-10-31,100000030,51,oa,outflow,0.0,-1817.49,157575.91999999995,157575.91999999995,157575.91999999995,157575.91999999995,157575.91999999995,157575.91999999995,"oa-Loan payment from OA Account at year 4, age 51--1817.49"
2025-10-31,100000031,51,loan,outflow,0.0,-1817.49,232273.76,232273.76,232273.76,232273.76,232273.76,232273.76,"loan-Loan payment from OA Account at year 4, age 51--1817.49"
2025-10-31,100000032,51,oa,inflow,1702.21,0.0,159278.12999999995,159278.12999999995,159278.12999999995,159278.12999999995,159278.12999999995,159278.12999999995,oa-Allocation for OA at age 51-1702.21
2025-10-31,100000033,51,sa,inflow,443.83,0.0,255826.32999999993,255826.32999999993,255826.32999999993,255826.32999999993,255826.32999999993,255826.32999999993,sa-Allocation for SA at age 51-443.83
2025-10-31,100000034,51,ma,inflow,591.96,0.0,76504.13000000003,76504.13000000003,76504.13000000003,76504.13000000003,76504.13000000003,76504.13000000003,ma-Allocation for MA at age 51-591.96
